loss,mask_output_binary_io_u,mask_output_loss,target_output_accuracy,target_output_auroc,target_output_loss,target_output_precision,target_output_recall,val_loss,val_mask_output_binary_io_u,val_mask_output_loss,val_target_output_accuracy,val_target_output_auroc,val_target_output_loss,val_target_output_precision,val_target_output_recall,learning_rate
0.6467227339744568,0.539756715297699,0.7487083077430725,0.8290606141090393,0.8848279118537903,0.40875697135925293,0.8164765238761902,0.7449121475219727,3.630343437194824,0.29157304763793945,0.9128408432006836,0.4039634168148041,0.5244214534759521,9.971182823181152,0.4037361741065979,1.0,0.0010000000474974513
0.5228776931762695,0.6674787402153015,0.6229604482650757,0.8847305178642273,0.9409950971603394,0.2893517017364502,0.8981958627700806,0.806339681148529,1.0583610534667969,0.5347387194633484,0.7781901359558105,0.7934451103210449,0.8519445657730103,1.712093472480774,0.6965779662132263,0.8649669289588928,0.0010000000474974513
0.4768233299255371,0.6911486983299255,0.5787989497184753,0.9097118377685547,0.959422767162323,0.2388809323310852,0.9155940413475037,0.8556557893753052,0.5981717109680176,0.6355100870132446,0.650908887386322,0.8936737775802612,0.9514092206954956,0.4751182794570923,0.8362069129943848,0.9159584641456604,0.0010000000474974513
0.45451200008392334,0.7034106254577637,0.5562289953231812,0.917477548122406,0.9661980271339417,0.21717140078544617,0.9226234555244446,0.8688411116600037,0.5155138373374939,0.6718471050262451,0.6215121746063232,0.8856707215309143,0.9524618983268738,0.26818448305130005,0.8868501782417297,0.821529746055603,0.0010000000474974513
0.43735000491142273,0.7115293741226196,0.5405449867248535,0.9272080659866333,0.9718974828720093,0.1965617537498474,0.9337570071220398,0.8828287720680237,0.5758776664733887,0.6639002561569214,0.6383809447288513,0.859375,0.9672838449478149,0.4300364553928375,0.9928571581840515,0.6562795042991638,0.0010000000474974513
0.4241141676902771,0.7194430232048035,0.5262405276298523,0.9329153895378113,0.9740232229232788,0.18581949174404144,0.9389591217041016,0.8923041224479675,0.5034712553024292,0.7050448060035706,0.5490402579307556,0.8334603905677795,0.974705696105957,0.3971433937549591,0.7159722447395325,0.9735599756240845,0.0010000000474974513
0.41819876432418823,0.72211754322052,0.5212352871894836,0.9359094500541687,0.9765408635139465,0.17777998745441437,0.938042402267456,0.9009029865264893,0.4675246477127075,0.6934669017791748,0.5813185572624207,0.9214938879013062,0.9824773073196411,0.20200568437576294,0.9754738211631775,0.826251208782196,0.0010000000474974513
0.40667620301246643,0.727348268032074,0.5112406611442566,0.9404004216194153,0.9801041483879089,0.1626933068037033,0.9423215389251709,0.908059298992157,0.42123186588287354,0.7190958857536316,0.5274507999420166,0.941692054271698,0.9812183380126953,0.17338749766349792,0.9689440727233887,0.8838527202606201,0.0010000000474974513
0.4041129946708679,0.7283675670623779,0.510288655757904,0.9426459670066833,0.9817553758621216,0.15636956691741943,0.9464802145957947,0.9094278216362,0.4559394419193268,0.7075961828231812,0.5509013533592224,0.9150152206420898,0.9692464470863342,0.23436176776885986,0.9654788374900818,0.8186968564987183,0.0010000000474974513
0.3927244544029236,0.7337231636047363,0.4994235336780548,0.9478854537010193,0.9842601418495178,0.143760085105896,0.9516167640686035,0.9179759621620178,0.4323262572288513,0.7177507877349854,0.531288743019104,0.9230182766914368,0.9786074757575989,0.20141355693340302,0.8748906254768372,0.9442870616912842,0.0010000000474974513
0.3705759644508362,0.7446460723876953,0.4794827401638031,0.9595808386802673,0.9897124171257019,0.11646003276109695,0.9647703170776367,0.934516966342926,0.40275314450263977,0.727511465549469,0.5140407085418701,0.9466463327407837,0.986337423324585,0.1430823802947998,0.922723114490509,0.947119951248169,0.00020000000949949026
0.36086148023605347,0.7492774724960327,0.47167426347732544,0.9657559990882874,0.9915030598640442,0.10229843109846115,0.9678335189819336,0.9467839002609253,0.42142778635025024,0.7147117257118225,0.5395795106887817,0.9496951103210449,0.9843667149543762,0.14574047923088074,0.9539666771888733,0.9197356104850769,0.00020000000949949026
0.35533663630485535,0.7512713670730591,0.46871650218963623,0.96875,0.9938100576400757,0.09078336507081985,0.9694189429283142,0.9528323411941528,0.4454509913921356,0.7153002023696899,0.540984570980072,0.9226372241973877,0.9801920652389526,0.2225392758846283,0.9863636493682861,0.8196411728858948,0.00020000000949949026
0.3432973325252533,0.7570685148239136,0.45668554306030273,0.9725860953330994,0.9953847527503967,0.07872509211301804,0.9758636951446533,0.9557358026504517,0.3958984911441803,0.7322870492935181,0.5043047666549683,0.9546493887901306,0.9848865866661072,0.14295069873332977,0.9644268751144409,0.9216241836547852,4.0000002627493814e-05
0.3419463336467743,0.7572925090789795,0.457900732755661,0.9763286113739014,0.99605393409729,0.07138597965240479,0.9790588021278381,0.9620808959007263,0.39602211117744446,0.7315701246261597,0.5055262446403503,0.9516006112098694,0.984950840473175,0.14051243662834167,0.9480769038200378,0.9310670495033264,4.0000002627493814e-05
0.33701619505882263,0.7593413591384888,0.4525282084941864,0.9784805178642273,0.9965375065803528,0.06748852133750916,0.9812074303627014,0.9653339385986328,0.39610764384269714,0.7314310073852539,0.5053702592849731,0.9474085569381714,0.985075831413269,0.1411617547273636,0.9373219609260559,0.9320113062858582,4.0000002627493814e-05
0.33439427614212036,0.7610173225402832,0.4497673809528351,0.9796968698501587,0.9969590306282043,0.06519073247909546,0.9825224280357361,0.9667673707008362,0.39721009135246277,0.7313748598098755,0.5056098103523254,0.9519817233085632,0.9844716787338257,0.14427730441093445,0.9489893913269043,0.9310670495033264,8.000000889296643e-06
0.3361561596393585,0.7599146366119385,0.45190900564193726,0.9778255820274353,0.9968833327293396,0.06606645882129669,0.9808142185211182,0.964343249797821,0.39765989780426025,0.731137752532959,0.5060935020446777,0.9519817233085632,0.9845086336135864,0.14464810490608215,0.9498553276062012,0.9301227331161499,8.000000889296643e-06
0.3316052258014679,0.7619341611862183,0.4472675323486328,0.9814745783805847,0.9972631335258484,0.06172687187790871,0.9837340712547302,0.9700139760971069,0.39740198850631714,0.7313705086708069,0.5054601430892944,0.9516006112098694,0.9841878414154053,0.14526648819446564,0.9455066919326782,0.9338998794555664,1.6000001323845936e-06
